reading_id,ts,station,lat,lon,reading_c,humidity_pct,calibration,battery_pct,alarm,split
10000,2025-03-01 00:00:00,north,45.068128,7.693064,19.419,81.5,,98.0,0,train
10001,2025-03-01 01:00:00,harbour,45.045134,7.612855,24.818,73.68,1.0022,100.0,0,train
10002,2025-03-01 02:00:00,harbour,45.044631,7.610194,21.913,68.06,1.1001,98.9,0,train
10003,2025-03-01 03:00:00,north,45.065192,7.686185,20.227,76.91,1.0176,97.8,0,train
10004,2025-03-01 04:00:00,north,45.072509,7.690656,18.894,74.0,0.9444,97.6,0,train
10005,2025-03-01 05:00:00,hill,45.102081,7.735485,17.516,70.89,,98.3,0,train
10006,2025-03-01 06:00:00,north,45.071836,7.680094,19.417,75.31,0.9736,96.6,0,train
10007,2025-03-01 07:00:00,north,45.068074,7.690237,22.384,73.63,1.1202,100.0,0,train
10008,2025-03-01 08:00:00,hill,45.098113,7.726559,18.616,63.87,,100.0,0,train
10009,2025-03-01 09:00:00,harbour,45.045065,7.608548,22.608,73.41,0.9462,97.1,0,train
10010,2025-03-01 10:00:00,north,45.071809,7.692714,19.989,68.2,1.0365,98.6,0,train
10011,2025-03-01 11:00:00,harbour,45.036097,7.613601,23.159,73.78,0.975,98.9,0,train
10012,2025-03-01 12:00:00,harbour,45.033434,7.613579,23.428,67.77,0.9819,100.0,0,train
10013,2025-03-01 13:00:00,north,45.067863,7.686929,18.107,74.86,0.9892,98.1,0,train
10014,2025-03-01 14:00:00,north,45.065273,7.69166,16.568,82.14,0.9675,98.9,0,train
10015,2025-03-01 15:00:00,harbour,45.039544,7.612124,19.169,71.39,0.9804,97.5,0,train
10016,2025-03-01 16:00:00,harbour,45.043481,7.602413,19.447,80.96,0.8929,97.6,0,train
10017,2025-03-01 17:00:00,harbour,45.046876,7.613634,18.777,69.35,0.9958,98.2,0,train
10018,2025-03-01 18:00:00,hill,45.102573,7.719708,11.314,81.28,1.0325,100.0,0,train
10019,2025-03-01 19:00:00,harbour,45.046509,7.601894,17.114,71.16,1.0926,100.0,0,train
10020,2025-03-01 20:00:00,hill,45.108657,7.74347,13.423,83.0,,100.0,0,train
10021,2025-03-01 21:00:00,north,45.068262,7.691688,14.992,78.29,1.0417,99.9,0,train
10022,2025-03-01 22:00:00,harbour,45.034332,7.61,19.649,75.34,,96.3,0,train
10023,2025-03-01 23:00:00,harbour,45.044414,7.611987,21.593,73.83,1.0729,97.4,0,train
10024,2025-03-02 00:00:00,north,45.072442,7.686806,17.987,77.64,1.1113,100.0,0,train
10025,2025-03-02 01:00:00,harbour,45.05042,7.61749,23.618,70.92,1.0178,99.3,0,train
10026,2025-03-02 02:00:00,north,45.075727,7.682415,18.425,78.23,0.9848,100.0,0,train
10027,2025-03-02 03:00:00,hill,45.107137,7.73086,18.15,73.78,,99.2,0,train
10028,2025-03-02 04:00:00,hill,45.110763,7.732151,16.374,73.57,1.0777,100.0,0,train
10029,2025-03-02 05:00:00,north,45.065819,7.687068,19.506,68.18,0.9407,99.4,0,train
10030,2025-03-02 06:00:00,harbour,45.041788,7.613709,23.619,69.52,1.0645,100.0,0,train
10031,2025-03-02 07:00:00,north,45.068922,7.684343,21.281,67.53,,99.8,0,train
10032,2025-03-02 08:00:00,north,45.076987,7.690244,20.096,67.38,0.9613,100.0,0,train
10033,2025-03-02 09:00:00,hill,45.106279,7.730129,15.819,73.89,,98.0,0,train
10034,2025-03-02 10:00:00,north,45.057782,7.685966,20.981,69.21,1.0335,98.5,0,train
10035,2025-03-02 11:00:00,north,45.075505,7.682817,17.845,75.43,1.0494,97.6,0,train
10036,2025-03-02 12:00:00,harbour,45.037399,7.60721,21.447,68.4,1.072,98.9,0,train
10037,2025-03-02 13:00:00,north,45.073139,7.69263,17.523,70.7,0.9465,99.8,0,train
10038,2025-03-02 14:00:00,hill,45.102118,7.733723,12.955,83.52,,99.0,0,train
10039,2025-03-02 15:00:00,north,45.071017,7.68121,16.21,67.58,1.0399,95.0,0,train
10040,2025-03-02 16:00:00,north,45.072583,7.686561,15.984,75.71,1.0155,97.4,0,train
10041,2025-03-02 17:00:00,north,45.070822,7.681233,14.878,82.83,1.0574,97.7,0,train
10042,2025-03-02 18:00:00,north,45.066232,7.689405,16.02,78.05,1.004,98.1,0,train
10043,2025-03-02 19:00:00,harbour,45.046648,7.616703,17.845,79.27,0.9876,97.4,0,train
10044,2025-03-02 20:00:00,hill,45.105642,7.740603,11.156,84.17,0.8922,97.9,0,train
10045,2025-03-02 21:00:00,harbour,45.040989,7.606946,19.548,74.36,0.9099,100.0,0,train
10046,2025-03-02 22:00:00,north,45.072883,7.685611,15.43,77.92,1.0408,99.8,0,train
10047,2025-03-02 23:00:00,north,45.067919,7.69579,17.675,72.83,0.9457,100.0,0,train
10048,2025-03-03 00:00:00,north,45.077606,7.685266,17.981,75.71,1.0171,95.3,0,train
10049,2025-03-03 01:00:00,hill,45.104964,7.741831,15.411,81.73,,96.5,0,train
10050,2025-03-03 02:00:00,harbour,45.042529,7.620169,23.83,57.87,0.9962,96.0,0,train
10051,2025-03-03 03:00:00,harbour,45.042456,7.605308,24.447,61.73,1.0516,100.0,1,train
10052,2025-03-03 04:00:00,north,45.066418,7.692562,17.631,66.0,0.9703,99.8,0,train
10053,2025-03-03 05:00:00,north,45.065373,7.690221,20.843,66.25,1.0309,97.3,0,train
10054,2025-03-03 06:00:00,hill,45.104941,7.739856,18.456,68.14,0.9958,97.3,0,train
10055,2025-03-03 07:00:00,harbour,45.042483,7.621015,25.231,61.93,0.929,98.9,1,train
10056,2025-03-03 08:00:00,north,45.075458,7.688729,20.281,69.6,,100.0,0,train
10057,2025-03-03 09:00:00,north,45.07188,7.68678,19.115,76.36,0.9924,100.0,0,train
10058,2025-03-03 10:00:00,north,45.065719,7.689503,19.846,76.45,1.0817,97.0,0,train
10059,2025-03-03 11:00:00,north,45.072182,7.684617,19.686,68.32,1.0589,100.0,0,train
10060,2025-03-03 12:00:00,north,45.073387,7.688914,15.861,74.93,1.0251,97.8,0,train
10061,2025-03-03 13:00:00,hill,45.10809,7.725092,12.643,84.01,,100.0,0,train
10062,2025-03-03 14:00:00,harbour,45.042412,7.621219,19.374,69.39,1.0461,100.0,0,train
10063,2025-03-03 15:00:00,north,45.065191,7.683663,13.022,79.26,0.9897,99.2,0,train
10064,2025-03-03 16:00:00,harbour,45.045723,7.61514,18.196,66.09,1.0662,99.3,0,train
10065,2025-03-03 17:00:00,north,45.067149,7.687972,15.932,79.82,1.0147,93.0,0,train
10066,2025-03-03 18:00:00,north,45.072372,7.686909,13.759,80.95,0.9767,99.2,0,train
10067,2025-03-03 19:00:00,harbour,45.034785,7.612946,18.686,69.04,1.1917,94.6,0,train
10068,2025-03-03 20:00:00,hill,45.107136,7.735705,11.384,77.78,,96.8,0,train
10069,2025-03-03 21:00:00,north,45.066937,7.677995,16.33,71.92,0.9959,99.7,0,train
10070,2025-03-03 22:00:00,hill,45.108406,7.732579,14.243,80.99,,94.8,0,train
10071,2025-03-03 23:00:00,north,45.077132,7.692475,18.733,70.93,,100.0,0,train
10072,2025-03-04 00:00:00,north,45.074754,7.681145,18.217,68.64,0.9416,96.8,0,train
10073,2025-03-04 01:00:00,north,45.065402,7.680976,20.117,69.64,1.0963,99.4,0,train
10074,2025-03-04 02:00:00,north,45.066297,7.697179,20.177,74.41,1.0325,96.7,0,train
10075,2025-03-04 03:00:00,harbour,45.03759,7.618537,23.384,71.53,0.9485,99.1,0,train
10076,2025-03-04 04:00:00,harbour,45.043722,7.620352,26.029,68.21,0.9216,96.6,0,train
10077,2025-03-04 05:00:00,hill,45.105453,7.7353,17.578,75.1,,97.6,0,train
10078,2025-03-04 06:00:00,north,45.070704,7.687738,21.531,70.13,0.9498,93.0,0,train
10079,2025-03-04 07:00:00,north,45.071306,7.690254,23.921,66.94,1.0664,99.5,0,train
10080,2025-03-04 08:00:00,north,45.072387,7.689231,21.873,71.35,0.906,99.0,0,train
10081,2025-03-04 09:00:00,hill,45.106673,7.734908,16.512,78.56,1.0614,96.9,0,train
10082,2025-03-04 10:00:00,hill,45.110825,7.727879,17.076,71.42,,96.9,0,train
10083,2025-03-04 11:00:00,north,45.06984,7.682602,18.376,70.53,,95.3,0,train
10084,2025-03-04 12:00:00,north,45.070877,7.678642,17.998,72.5,1.0026,96.0,0,train
10085,2025-03-04 13:00:00,north,45.062636,7.694367,15.679,80.21,0.9377,97.9,0,train
10086,2025-03-04 14:00:00,harbour,45.035763,7.610275,20.299,68.77,0.9713,98.0,0,train
10087,2025-03-04 15:00:00,north,45.067282,7.68539,14.197,76.26,0.9726,98.8,0,train
10088,2025-03-04 16:00:00,north,45.065307,7.687754,15.798,81.33,0.8799,99.7,0,train
10089,2025-03-04 17:00:00,north,45.070933,7.686382,15.484,83.56,0.9411,99.3,0,train
10090,2025-03-04 18:00:00,north,45.074212,7.688983,15.895,73.32,1.0168,98.1,0,train
10091,2025-03-04 19:00:00,hill,45.102301,7.732101,14.521,78.39,0.8969,98.0,0,train
10092,2025-03-04 20:00:00,harbour,45.039098,7.604502,17.083,80.08,0.932,96.8,0,train
10093,2025-03-04 21:00:00,harbour,45.03899,7.621205,18.099,72.31,0.954,99.7,0,train
10094,2025-03-04 22:00:00,harbour,45.041558,7.608629,18.98,76.46,1.0452,95.7,0,train
10095,2025-03-04 23:00:00,harbour,45.038852,7.60983,20.225,65.19,1.0452,95.6,0,train
10096,2025-03-05 00:00:00,harbour,45.042736,7.608191,22.643,66.69,1.0735,97.8,0,train
10097,2025-03-05 01:00:00,hill,45.10523,7.732446,15.639,80.07,,94.3,0,train
10098,2025-03-05 02:00:00,north,45.071401,7.686335,19.139,78.74,1.04,96.4,0,train
10099,2025-03-05 03:00:00,harbour,45.044078,7.616037,22.707,71.38,1.0112,94.0,0,train
10100,2025-03-05 04:00:00,north,45.070144,7.680857,20.265,64.3,0.9348,95.3,0,train
10101,2025-03-05 05:00:00,north,45.070591,7.68769,20.796,63.9,,100.0,0,train
10102,2025-03-05 06:00:00,harbour,45.048052,7.60878,24.774,61.05,0.9989,93.7,1,train
10103,2025-03-05 07:00:00,hill,45.103829,7.741319,16.709,79.26,,98.9,0,train
10104,2025-03-05 08:00:00,harbour,45.044201,7.605932,24.379,68.12,0.9454,95.7,0,train
10105,2025-03-05 09:00:00,north,45.070223,7.686703,21.078,74.2,0.9189,94.6,0,train
10106,2025-03-05 10:00:00,north,45.068171,7.689818,20.177,73.84,1.0241,93.9,0,train
10107,2025-03-05 11:00:00,north,45.068173,7.679271,17.657,72.22,1.0213,98.0,0,train
10108,2025-03-05 12:00:00,hill,45.100718,7.735735,16.1,75.19,,96.0,0,train
