order_id,customer_id,zip,city,region,unit_price,qty,total,discount_pct,order_date,delivered_days,late,note,weight_kg,subtotal
1000,41,10121,Torino,Piemonte,31.33,9,281.97,10,2025-10-03,4,0,fragile - handle with care,3.75,253.77300000000002
1001,48,10121,Torino,Piemonte,57.28,1,57.28,10,2025-04-12,7,0,none,0.492,51.552
1002,44,40121,Bologna,Emilia,57.95,2,115.9,0,2025-01-15,10,1,none,1.062,115.9
1003,70,80121,Napoli,Campania,52.4,6,314.4,5,2025-01-18,3,0,call before delivery,3.267,298.67999999999995
1004,23,00100,Roma,Lazio,45.32,8,362.56,0,2025-10-24,1,0,fragile - handle with care,4.259,362.56
1005,41,00100,Roma,Lazio,59.69,3,179.07,10,2025-03-28,1,0,left at door,1.672,161.163
1006,68,80121,Napoli,Campania,96.83,6,580.98,10,2025-10-06,14,1,left at door,2.535,522.8820000000001
1007,49,80121,Napoli,Campania,48.52,9,436.68,5,2025-06-03,11,1,call before delivery,4.532,414.846
1008,57,20121,Milano,Lombardia,84.56,2,169.12,10,2025-12-26,4,0,left at door,0.981,152.208
1009,57,20121,Milano,Lombardia,10.31,2,20.62,10,2025-11-10,2,0,fragile - handle with care,1.0,18.558
1010,35,80121,Napoli,Campania,41.63,3,124.89,10,2025-12-30,8,1,call before delivery,1.48,112.401
1011,7,10121,Torino,Piemonte,58.25,3,174.75,0,2025-12-02,10,1,call before delivery,1.563,174.75
1012,52,20121,Milano,Lombardia,63.93,6,383.58,5,2025-02-08,7,0,none,2.528,364.401
1013,5,80121,Napoli,Campania,28.75,9,258.75,5,2025-01-08,8,1,none,3.619,245.8125
1014,29,20121,Milano,Lombardia,42.93,8,343.44,5,2025-03-22,4,0,none,3.899,326.268
1015,3,10121,Torino,Piemonte,94.97,5,474.85,10,2025-06-17,11,1,fragile - handle with care,2.589,427.365
1016,38,40121,Bologna,Emilia,66.64,6,399.84,5,2025-10-01,9,1,call before delivery,2.909,379.84799999999996
1017,9,10121,Torino,Piemonte,60.57,9,545.13,10,2025-09-07,14,1,fragile - handle with care,4.527,490.61699999999996
1018,69,00100,Roma,Lazio,11.2,9,100.8,5,2025-05-26,1,0,call before delivery,4.322,95.75999999999999
1019,21,00100,Roma,Lazio,9.96,8,79.68,5,2025-10-02,4,0,left at door,4.5,75.69600000000001
1020,79,80121,Napoli,Campania,25.08,8,200.64,5,2025-05-01,1,0,none,4.496,190.60799999999998
1021,4,40121,Bologna,Emilia,18.09,2,36.18,0,2025-02-28,7,0,left at door,0.86,36.18
1022,23,80121,Napoli,Campania,98.46,3,295.38,0,2025-09-26,2,0,fragile - handle with care,1.574,295.38
1023,48,10121,Torino,Piemonte,5.26,2,10.52,10,2025-01-03,11,1,call before delivery,1.009,9.468
1024,28,80121,Napoli,Campania,39.76,8,318.08,0,2025-07-18,3,0,left at door,3.29,318.08
1025,46,20121,Milano,Lombardia,10.55,4,42.2,5,2025-04-02,3,0,call before delivery,1.67,40.09
